id,description
33,"Etykiety samoprzylepne o wymiarach 210 x 297 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
34,"Etykiety samoprzylepne kolorowe o wymiarach 210 x 297 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op=25 arkuszy, (zielone, czerwone, niebieskie, zólte)"
35,"Farby akwarelowe 12 kolorów, rozpuszczalne w wodzie, w postaci sprasowanych guziczków"
36,"Farby plakatowe 12 kolorów , 20 ml w sloiczkach"
37,"Flamastry nie wysychajace, pojedyncze, wyrazny tusz, srednica koncówki 1,8 mm, w róznych kolorach: czarny, czerwony, zielony, niebieski"
38,"Tablica blat suchoscieralny - magnetyczny, wzmocniony plyta, sprezynujacy docisk papieru o formacie 70 x 100 cm*, regulacja kata pochylenia tablicy, rama aluminiowa, trójnozny stojak z regulacja wysokosci, maksymalna wysokosc 186 cm, pólka na akcesoria"
39,"Folia do drukarek atramentowych, format A4, op. 50 szt."
40,"Folia do drukarek laserowych, format A4, op. 50 szt."
41,"Folia do kserokopiarek, format A4, op. 100 szt."
42,"Folia do kserokopiarek kolorowych, format A4, op. 100 szt."
43,"Folia do laminowania, antystatyczna, sztywna, krystalicznie przejrzysta, blyszczaca, format A4, o wymiarach 216 x 303 mm, gramatura 100 mic, op.100 szt."
44,"Foliopis, marker do pisania po kazdej powierzchni równiez gladkiej, wodoodporny, szybkoschnacy, bezzapachowy atrament na bazie alkoholu, odporny na scieranie i blakniecia, grubosc linii S - 0,4 mm; F- 0,6 mm*; M - 1,0 mm, w róznych kolorach: zielony, czerwony, czarny, niebieski"
45,"Gabka do tablic suchoscieralnych, wewnetrzna warstwa magnetyczna umozliwiajaca przytwierdzenie do tablic magnetycznych, spód wykonczony filcem, nie rysujaca tablic, o wymiarach 110x57x24mm"
46,"Gabka do tablicy zwyklej o wymiarach 16cm x 11cm x 4"
47,"Grzbiety do bindowania, plastikowe, o wymiarze 6 mm (rózne kolory), op. 100 szt"
48,"Grzbiety do bindowania, plastikowe, o wymiarze 8 mm (rózne kolory), op. 100 szt"
49,"Grzbiety do bindowania, plastikowe, o wymiarze 10 mm (rózne kolory), op. 100 szt."
50,"Grzbiety do bindowania, plastikowe, o wymiarze 12,5 mm (rózne kolory), op. 100 szt."
51,"Grzbiety do bindowania, plastikowe, o wymiarze 14 mm (rózne kolory), op. 100 szt."
52,"Grzbiety do bindowania, plastikowe, o wymiarze 16 mm (rózne kolory), op. 100 szt."
53,"Grzbiety do bindowania, plastikowe, o wymiarze 19 mm (rózne kolory), op. 100 szt."
54,"Grzbiety do bindowania, plastikowe, o wymiarze 22 mm (rózne kolory), op. 50 szt."
55,"Grzbiety do bindowania, plastikowe, o wymiarze 32 mm (rózne kolory), op. 50 szt."
56,"Grzbiet zaciskowy, listwa wsuwana pozwalajaca na oprawe dokumentów do 30 kartek, w formie plastikowej rynienki, format A4, zaokraglone konce ulatwiajace wkladanie dokumentów, specjalny system utrzymujacy kartki w miejscu, (rózne kolory), op. 50 szt.(wlasna konfekcja)"
57,"Grzbiet zaciskowy, listwa wsuwana pozwalajaca na oprawe dokumentów do 60 kartek, w formie plastikowej rynienki, format A4, zaokraglone konce ulatwiajace wkladanie dokumentów, specjalny system utrzymujacy kartki w miejscu, (rózne kolory), op. 50 szt.(wlasna konfekcja)"
58,"Gumka wykonana z kauczuku wysokiej jakosci, przeznaczona do wymazywana pisma olówka i dlugopisu, dwustronna"
59,"Gumka recepturka, 0 100mm - opakowanie 100g"
60,"Identyfikator do klucza, wykonany z przezroczystego sztywnego tworzywa, otoczony plastikowa otoczka, dl. 52 mm, szer. 22 mm jednostronny, (rózne kolory), op. 100 szt.(wlasna konfekcja)"
61,"Identyfikator wykonany z przezroczystego, sztywnego tworzywa, wyposazony w metalowy klips sprezynujacy i niewielka agrafke, rozmiar przystosowany do klasycznej wielkosci kart wizytowych o wymiarach 57mm x 90 mm"
62,"Kalkulator 12-pozycyjny wyswietlacz, zaokraglanie wyników, funkcja obliczania marz, regulowana liczba miejsc po przecinku, klawisze podwójnego zera, podwójne zasilanie, cofanie ostatnio wprowadzonej pozycji"
63,"Karta czytelnika A6 z kartonu o gramaturze 190g/m2"
64,"Karta katalogowa B-143 z kartonu o gramaturze 190g/m²,z jedna linia"
65,"Karteczki klejone, substancja klejaca usuwalna za pomoca wody, trwala substancja klejaca nie pozostawiajaca sladów, papier z samoprzylepnym paskiem, pozwalajacym na wielokrotne przyklejanie i odklejanie pojedynczej karteczki, o wymiarach 38 mm x 51 mm, w bloczku 100 karteczek, kolor zólty"
66,"Karteczki klejone, substancja klejaca usuwalna za pomoca wody, trwala substancja klejaca nie pozostawiajaca sladów, papier z samoprzylepnym paskiem, pozwalajacym na wielokrotne przyklejanie i odklejanie pojedynczej karteczki, o wymiarach 51 mm x 76 mm, w bloczku 100 karteczek, kolor zólty"
67,"Karteczki klejone, substancja klejaca usuwalna za pomoca wody, trwala substancja klejaca nie pozostawiajaca sladów, papier z samoprzylepnym paskiem, pozwalajacym na wielokrotne przyklejanie i odklejanie pojedynczej karteczki, o wymiarach 76 mm x 76 mm, w bloczku 100 karteczek, kolor zólty"
68,"Karteczki klejone, substancja klejaca usuwalna za pomoca wody, trwala substancja klejaca nie pozostawiajaca sladów, papier z samoprzylepnym paskiem, pozwalajacym na wielokrotne przyklejanie i odklejanie pojedynczej karteczki, o wymiarach 51 mm x 51 mm, w bloczku 250 karteczek, (rózne kolory)"
69,"Karteczki klejone, substancja klejaca usuwalna za pomoca wody, trwala substancja klejaca nie pozostawiajaca sladów, papier z samoprzylepnym paskiem, pozwalajacym na wielokrotne przyklejanie i odklejanie pojedynczej karteczki, o wymiarach 75 mm x 75 mm, w bloczku 100 karteczek, (rózne kolory)"
70,"Kaseta do kamer cyfrowych mini DV SP/LP - 60 minut"
71,"Klej blyskawiczny, mocny, dziala po uplywie kilku sekund, mozna go dozowac przy klejeniu punktowym, poi. 3 q"
